ID,times,simu,emis,ssize,x0,N,s,h,u,v
0,0,0.5,17,30,0.5,100,0,0.5,0,0
0,10,0.69,20,30,0.5,100,0,0.5,0,0
0,20,0.85,25,30,0.5,100,0,0.5,0,0
0,30,0.7,23,30,0.5,100,0,0.5,0,0
0,40,0.77,25,30,0.5,100,0,0.5,0,0
0,50,0.76,23,30,0.5,100,0,0.5,0,0
0,60,0.84,30,30,0.5,100,0,0.5,0,0
0,70,0.82,23,30,0.5,100,0,0.5,0,0
0,80,0.82,27,30,0.5,100,0,0.5,0,0
0,90,0.87,26,30,0.5,100,0,0.5,0,0
1,0,0.5,17,30,0.5,100,0,0.5,0,0
1,10,0.14,5,30,0.5,100,0,0.5,0,0
1,20,0.05,1,30,0.5,100,0,0.5,0,0
1,30,0.0,0,30,0.5,100,0,0.5,0,0
1,40,0.0,0,30,0.5,100,0,0.5,0,0
1,50,0.0,0,30,0.5,100,0,0.5,0,0
1,60,0.0,0,30,0.5,100,0,0.5,0,0
1,70,0.0,0,30,0.5,100,0,0.5,0,0
1,80,0.0,0,30,0.5,100,0,0.5,0,0
1,90,0.0,0,30,0.5,100,0,0.5,0,0
2,0,0.5,17,30,0.5,100,0,0.5,0,0
2,10,0.49,15,30,0.5,100,0,0.5,0,0
2,20,0.6,19,30,0.5,100,0,0.5,0,0
2,30,0.59,19,30,0.5,100,0,0.5,0,0
2,40,0.7,19,30,0.5,100,0,0.5,0,0
2,50,0.31,11,30,0.5,100,0,0.5,0,0
2,60,0.54,21,30,0.5,100,0,0.5,0,0
2,70,0.75,24,30,0.5,100,0,0.5,0,0
2,80,0.79,21,30,0.5,100,0,0.5,0,0
2,90,0.83,26,30,0.5,100,0,0.5,0,0
3,0,0.5,15,30,0.5,100,0,0.5,0,0
3,10,0.41,11,30,0.5,100,0,0.5,0,0
3,20,0.22,6,30,0.5,100,0,0.5,0,0
3,30,0.61,24,30,0.5,100,0,0.5,0,0
3,40,0.16,8,30,0.5,100,0,0.5,0,0
3,50,0.15,5,30,0.5,100,0,0.5,0,0
3,60,0.0,0,30,0.5,100,0,0.5,0,0
3,70,0.0,0,30,0.5,100,0,0.5,0,0
3,80,0.0,0,30,0.5,100,0,0.5,0,0
3,90,0.0,0,30,0.5,100,0,0.5,0,0
4,0,0.5,17,30,0.5,100,0,0.5,0,0
4,10,0.64,22,30,0.5,100,0,0.5,0,0
4,20,0.5,16,30,0.5,100,0,0.5,0,0
4,30,0.6,18,30,0.5,100,0,0.5,0,0
4,40,0.64,23,30,0.5,100,0,0.5,0,0
4,50,0.81,29,30,0.5,100,0,0.5,0,0
4,60,0.77,22,30,0.5,100,0,0.5,0,0
4,70,0.88,26,30,0.5,100,0,0.5,0,0
4,80,0.9,26,30,0.5,100,0,0.5,0,0
4,90,0.86,22,30,0.5,100,0,0.5,0,0
5,0,0.5,16,30,0.5,100,0,0.5,0,0
5,10,0.28,7,30,0.5,100,0,0.5,0,0
5,20,0.2,7,30,0.5,100,0,0.5,0,0
5,30,0.17,9,30,0.5,100,0,0.5,0,0
5,40,0.36,9,30,0.5,100,0,0.5,0,0
5,50,0.39,13,30,0.5,100,0,0.5,0,0
5,60,0.06,4,30,0.5,100,0,0.5,0,0
5,70,0.0,0,30,0.5,100,0,0.5,0,0
5,80,0.0,0,30,0.5,100,0,0.5,0,0
5,90,0.0,0,30,0.5,100,0,0.5,0,0
6,0,0.5,15,30,0.5,100,0,0.5,0,0
6,10,0.39,16,30,0.5,100,0,0.5,0,0
6,20,0.37,11,30,0.5,100,0,0.5,0,0
6,30,0.41,10,30,0.5,100,0,0.5,0,0
6,40,0.46,6,30,0.5,100,0,0.5,0,0
6,50,0.36,19,30,0.5,100,0,0.5,0,0
6,60,0.39,14,30,0.5,100,0,0.5,0,0
6,70,0.19,2,30,0.5,100,0,0.5,0,0
6,80,0.31,10,30,0.5,100,0,0.5,0,0
6,90,0.38,7,30,0.5,100,0,0.5,0,0
7,0,0.5,15,30,0.5,100,0,0.5,0,0
7,10,0.69,22,30,0.5,100,0,0.5,0,0
7,20,0.83,27,30,0.5,100,0,0.5,0,0
7,30,0.81,22,30,0.5,100,0,0.5,0,0
7,40,0.63,16,30,0.5,100,0,0.5,0,0
7,50,0.36,16,30,0.5,100,0,0.5,0,0
7,60,0.35,12,30,0.5,100,0,0.5,0,0
7,70,0.5,17,30,0.5,100,0,0.5,0,0
7,80,0.69,21,30,0.5,100,0,0.5,0,0
7,90,0.58,20,30,0.5,100,0,0.5,0,0
8,0,0.5,18,30,0.5,100,0,0.5,0,0
8,10,0.7,22,30,0.5,100,0,0.5,0,0
8,20,0.57,15,30,0.5,100,0,0.5,0,0
8,30,0.5,13,30,0.5,100,0,0.5,0,0
8,40,0.49,11,30,0.5,100,0,0.5,0,0
8,50,0.16,2,30,0.5,100,0,0.5,0,0
8,60,0.17,6,30,0.5,100,0,0.5,0,0
8,70,0.03,0,30,0.5,100,0,0.5,0,0
8,80,0.03,1,30,0.5,100,0,0.5,0,0
8,90,0.08,1,30,0.5,100,0,0.5,0,0
9,0,0.5,8,30,0.5,100,0,0.5,0,0
9,10,0.51,17,30,0.5,100,0,0.5,0,0
9,20,0.71,19,30,0.5,100,0,0.5,0,0
9,30,0.99,30,30,0.5,100,0,0.5,0,0
9,40,1.0,30,30,0.5,100,0,0.5,0,0
9,50,1.0,30,30,0.5,100,0,0.5,0,0
9,60,1.0,30,30,0.5,100,0,0.5,0,0
9,70,1.0,30,30,0.5,100,0,0.5,0,0
9,80,1.0,30,30,0.5,100,0,0.5,0,0
9,90,1.0,30,30,0.5,100,0,0.5,0,0
10,0,0.5,12,30,0.5,100,0,0.5,0,0
10,10,0.71,18,30,0.5,100,0,0.5,0,0
10,20,0.68,23,30,0.5,100,0,0.5,0,0
10,30,0.38,12,30,0.5,100,0,0.5,0,0
10,40,0.32,12,30,0.5,100,0,0.5,0,0
10,50,0.12,2,30,0.5,100,0,0.5,0,0
10,60,0.13,5,30,0.5,100,0,0.5,0,0
10,70,0.16,2,30,0.5,100,0,0.5,0,0
10,80,0.11,3,30,0.5,100,0,0.5,0,0
10,90,0.04,1,30,0.5,100,0,0.5,0,0
11,0,0.5,14,30,0.5,100,0,0.5,0,0
11,10,0.24,6,30,0.5,100,0,0.5,0,0
11,20,0.34,9,30,0.5,100,0,0.5,0,0
11,30,0.51,19,30,0.5,100,0,0.5,0,0
11,40,0.46,17,30,0.5,100,0,0.5,0,0
11,50,0.69,18,30,0.5,100,0,0.5,0,0
11,60,0.59,15,30,0.5,100,0,0.5,0,0
11,70,0.75,24,30,0.5,100,0,0.5,0,0
11,80,0.78,25,30,0.5,100,0,0.5,0,0
11,90,0.68,21,30,0.5,100,0,0.5,0,0
12,0,0.5,15,30,0.5,100,0,0.5,0,0
12,10,0.44,14,30,0.5,100,0,0.5,0,0
12,20,0.4,11,30,0.5,100,0,0.5,0,0
12,30,0.56,21,30,0.5,100,0,0.5,0,0
12,40,0.64,21,30,0.5,100,0,0.5,0,0
12,50,0.3,12,30,0.5,100,0,0.5,0,0
12,60,0.16,3,30,0.5,100,0,0.5,0,0
12,70,0.0,0,30,0.5,100,0,0.5,0,0
12,80,0.0,0,30,0.5,100,0,0.5,0,0
12,90,0.0,0,30,0.5,100,0,0.5,0,0
13,0,0.5,13,30,0.5,100,0,0.5,0,0
13,10,0.81,22,30,0.5,100,0,0.5,0,0
13,20,0.83,25,30,0.5,100,0,0.5,0,0
13,30,0.69,23,30,0.5,100,0,0.5,0,0
13,40,0.5,11,30,0.5,100,0,0.5,0,0
13,50,0.57,16,30,0.5,100,0,0.5,0,0
13,60,0.31,13,30,0.5,100,0,0.5,0,0
13,70,0.5,13,30,0.5,100,0,0.5,0,0
13,80,0.22,8,30,0.5,100,0,0.5,0,0
13,90,0.3,7,30,0.5,100,0,0.5,0,0
14,0,0.5,14,30,0.5,100,0,0.5,0,0
14,10,0.46,8,30,0.5,100,0,0.5,0,0
14,20,0.18,6,30,0.5,100,0,0.5,0,0
14,30,0.14,4,30,0.5,100,0,0.5,0,0
14,40,0.28,6,30,0.5,100,0,0.5,0,0
14,50,0.53,15,30,0.5,100,0,0.5,0,0
14,60,0.61,17,30,0.5,100,0,0.5,0,0
14,70,0.61,20,30,0.5,100,0,0.5,0,0
14,80,0.64,19,30,0.5,100,0,0.5,0,0
14,90,0.67,19,30,0.5,100,0,0.5,0,0
15,0,0.5,12,30,0.5,100,0,0.5,0,0
15,10,0.24,9,30,0.5,100,0,0.5,0,0
15,20,0.47,15,30,0.5,100,0,0.5,0,0
15,30,0.3,11,30,0.5,100,0,0.5,0,0
15,40,0.31,10,30,0.5,100,0,0.5,0,0
15,50,0.3,7,30,0.5,100,0,0.5,0,0
15,60,0.33,11,30,0.5,100,0,0.5,0,0
15,70,0.27,7,30,0.5,100,0,0.5,0,0
15,80,0.31,5,30,0.5,100,0,0.5,0,0
15,90,0.3,11,30,0.5,100,0,0.5,0,0
16,0,0.5,17,30,0.5,100,0,0.5,0,0
16,10,0.71,24,30,0.5,100,0,0.5,0,0
16,20,0.92,27,30,0.5,100,0,0.5,0,0
16,30,0.96,29,30,0.5,100,0,0.5,0,0
16,40,1.0,30,30,0.5,100,0,0.5,0,0
16,50,1.0,30,30,0.5,100,0,0.5,0,0
16,60,1.0,30,30,0.5,100,0,0.5,0,0
16,70,1.0,30,30,0.5,100,0,0.5,0,0
16,80,1.0,30,30,0.5,100,0,0.5,0,0
16,90,1.0,30,30,0.5,100,0,0.5,0,0
17,0,0.5,15,30,0.5,100,0,0.5,0,0
17,10,0.57,17,30,0.5,100,0,0.5,0,0
17,20,0.42,10,30,0.5,100,0,0.5,0,0
17,30,0.33,7,30,0.5,100,0,0.5,0,0
17,40,0.31,7,30,0.5,100,0,0.5,0,0
17,50,0.2,5,30,0.5,100,0,0.5,0,0
17,60,0.1,5,30,0.5,100,0,0.5,0,0
17,70,0.05,1,30,0.5,100,0,0.5,0,0
17,80,0.25,8,30,0.5,100,0,0.5,0,0
17,90,0.46,13,30,0.5,100,0,0.5,0,0
18,0,0.5,15,30,0.5,100,0,0.5,0,0
18,10,0.5,11,30,0.5,100,0,0.5,0,0
18,20,0.36,8,30,0.5,100,0,0.5,0,0
18,30,0.57,17,30,0.5,100,0,0.5,0,0
18,40,0.51,13,30,0.5,100,0,0.5,0,0
18,50,0.49,12,30,0.5,100,0,0.5,0,0
18,60,0.6,18,30,0.5,100,0,0.5,0,0
18,70,0.36,9,30,0.5,100,0,0.5,0,0
18,80,0.47,9,30,0.5,100,0,0.5,0,0
18,90,0.23,6,30,0.5,100,0,0.5,0,0
19,0,0.5,18,30,0.5,100,0,0.5,0,0
19,10,0.82,21,30,0.5,100,0,0.5,0,0
19,20,0.91,27,30,0.5,100,0,0.5,0,0
19,30,0.76,18,30,0.5,100,0,0.5,0,0
19,40,0.56,18,30,0.5,100,0,0.5,0,0
19,50,0.41,11,30,0.5,100,0,0.5,0,0
19,60,0.25,5,30,0.5,100,0,0.5,0,0
19,70,0.39,19,30,0.5,100,0,0.5,0,0
19,80,0.28,8,30,0.5,100,0,0.5,0,0
19,90,0.16,6,30,0.5,100,0,0.5,0,0
20,0,0.5,16,30,0.5,100,0,0.5,0,0
20,10,0.6,18,30,0.5,100,0,0.5,0,0
20,20,0.41,13,30,0.5,100,0,0.5,0,0
20,30,0.45,15,30,0.5,100,0,0.5,0,0
20,40,0.69,23,30,0.5,100,0,0.5,0,0
20,50,0.48,12,30,0.5,100,0,0.5,0,0
20,60,0.63,17,30,0.5,100,0,0.5,0,0
20,70,0.56,17,30,0.5,100,0,0.5,0,0
20,80,0.67,22,30,0.5,100,0,0.5,0,0
20,90,0.76,17,30,0.5,100,0,0.5,0,0
21,0,0.5,15,30,0.5,100,0,0.5,0,0
21,10,0.3,14,30,0.5,100,0,0.5,0,0
21,20,0.39,9,30,0.5,100,0,0.5,0,0
21,30,0.32,13,30,0.5,100,0,0.5,0,0
21,40,0.51,16,30,0.5,100,0,0.5,0,0
21,50,0.35,11,30,0.5,100,0,0.5,0,0
21,60,0.43,20,30,0.5,100,0,0.5,0,0
21,70,0.47,16,30,0.5,100,0,0.5,0,0
21,80,0.85,27,30,0.5,100,0,0.5,0,0
21,90,0.76,21,30,0.5,100,0,0.5,0,0
22,0,0.5,16,30,0.5,100,0,0.5,0,0
22,10,0.66,20,30,0.5,100,0,0.5,0,0
22,20,0.55,12,30,0.5,100,0,0.5,0,0
22,30,0.57,13,30,0.5,100,0,0.5,0,0
22,40,0.71,22,30,0.5,100,0,0.5,0,0
22,50,0.75,22,30,0.5,100,0,0.5,0,0
22,60,0.5,16,30,0.5,100,0,0.5,0,0
22,70,0.66,23,30,0.5,100,0,0.5,0,0
22,80,0.52,12,30,0.5,100,0,0.5,0,0
22,90,0.58,17,30,0.5,100,0,0.5,0,0
23,0,0.5,13,30,0.5,100,0,0.5,0,0
23,10,0.61,21,30,0.5,100,0,0.5,0,0
23,20,0.7,17,30,0.5,100,0,0.5,0,0
23,30,0.81,25,30,0.5,100,0,0.5,0,0
23,40,0.99,30,30,0.5,100,0,0.5,0,0
23,50,1.0,30,30,0.5,100,0,0.5,0,0
23,60,1.0,30,30,0.5,100,0,0.5,0,0
23,70,1.0,30,30,0.5,100,0,0.5,0,0
23,80,1.0,30,30,0.5,100,0,0.5,0,0
23,90,1.0,30,30,0.5,100,0,0.5,0,0
24,0,0.5,13,30,0.5,100,0,0.5,0,0
24,10,0.61,20,30,0.5,100,0,0.5,0,0
24,20,0.5,15,30,0.5,100,0,0.5,0,0
24,30,0.58,16,30,0.5,100,0,0.5,0,0
24,40,0.49,11,30,0.5,100,0,0.5,0,0
24,50,0.72,23,30,0.5,100,0,0.5,0,0
24,60,0.84,23,30,0.5,100,0,0.5,0,0
24,70,0.63,19,30,0.5,100,0,0.5,0,0
24,80,0.73,23,30,0.5,100,0,0.5,0,0
24,90,0.85,26,30,0.5,100,0,0.5,0,0
25,0,0.5,10,30,0.5,100,0,0.5,0,0
25,10,0.44,13,30,0.5,100,0,0.5,0,0
25,20,0.59,16,30,0.5,100,0,0.5,0,0
25,30,0.62,18,30,0.5,100,0,0.5,0,0
25,40,0.71,20,30,0.5,100,0,0.5,0,0
25,50,0.71,21,30,0.5,100,0,0.5,0,0
25,60,0.88,24,30,0.5,100,0,0.5,0,0
25,70,0.95,30,30,0.5,100,0,0.5,0,0
25,80,0.96,30,30,0.5,100,0,0.5,0,0
25,90,1.0,30,30,0.5,100,0,0.5,0,0
26,0,0.5,15,30,0.5,100,0,0.5,0,0
26,10,0.28,11,30,0.5,100,0,0.5,0,0
26,20,0.13,2,30,0.5,100,0,0.5,0,0
26,30,0.09,4,30,0.5,100,0,0.5,0,0
26,40,0.06,3,30,0.5,100,0,0.5,0,0
26,50,0.0,0,30,0.5,100,0,0.5,0,0
26,60,0.0,0,30,0.5,100,0,0.5,0,0
26,70,0.0,0,30,0.5,100,0,0.5,0,0
26,80,0.0,0,30,0.5,100,0,0.5,0,0
26,90,0.0,0,30,0.5,100,0,0.5,0,0
27,0,0.5,22,30,0.5,100,0,0.5,0,0
27,10,0.56,17,30,0.5,100,0,0.5,0,0
27,20,0.76,25,30,0.5,100,0,0.5,0,0
27,30,0.99,30,30,0.5,100,0,0.5,0,0
27,40,1.0,30,30,0.5,100,0,0.5,0,0
27,50,1.0,30,30,0.5,100,0,0.5,0,0
27,60,1.0,30,30,0.5,100,0,0.5,0,0
27,70,1.0,30,30,0.5,100,0,0.5,0,0
27,80,1.0,30,30,0.5,100,0,0.5,0,0
27,90,1.0,30,30,0.5,100,0,0.5,0,0
28,0,0.5,13,30,0.5,100,0,0.5,0,0
28,10,0.48,16,30,0.5,100,0,0.5,0,0
28,20,0.54,16,30,0.5,100,0,0.5,0,0
28,30,0.54,13,30,0.5,100,0,0.5,0,0
28,40,0.6,18,30,0.5,100,0,0.5,0,0
28,50,0.56,17,30,0.5,100,0,0.5,0,0
28,60,0.52,14,30,0.5,100,0,0.5,0,0
28,70,0.5,15,30,0.5,100,0,0.5,0,0
28,80,0.7,21,30,0.5,100,0,0.5,0,0
28,90,0.76,24,30,0.5,100,0,0.5,0,0
29,0,0.5,17,30,0.5,100,0,0.5,0,0
29,10,0.5,15,30,0.5,100,0,0.5,0,0
29,20,0.52,12,30,0.5,100,0,0.5,0,0
29,30,0.46,17,30,0.5,100,0,0.5,0,0
29,40,0.24,9,30,0.5,100,0,0.5,0,0
29,50,0.19,6,30,0.5,100,0,0.5,0,0
29,60,0.33,10,30,0.5,100,0,0.5,0,0
29,70,0.51,14,30,0.5,100,0,0.5,0,0
29,80,0.33,8,30,0.5,100,0,0.5,0,0
29,90,0.36,13,30,0.5,100,0,0.5,0,0
30,0,0.5,15,30,0.5,100,0,0.5,0,0
30,10,0.79,25,30,0.5,100,0,0.5,0,0
30,20,0.99,30,30,0.5,100,0,0.5,0,0
30,30,1.0,30,30,0.5,100,0,0.5,0,0
30,40,1.0,30,30,0.5,100,0,0.5,0,0
30,50,1.0,30,30,0.5,100,0,0.5,0,0
30,60,1.0,30,30,0.5,100,0,0.5,0,0
30,70,1.0,30,30,0.5,100,0,0.5,0,0
30,80,1.0,30,30,0.5,100,0,0.5,0,0
30,90,1.0,30,30,0.5,100,0,0.5,0,0
31,0,0.5,11,30,0.5,100,0,0.5,0,0
31,10,0.27,15,30,0.5,100,0,0.5,0,0
31,20,0.19,6,30,0.5,100,0,0.5,0,0
31,30,0.26,6,30,0.5,100,0,0.5,0,0
31,40,0.49,11,30,0.5,100,0,0.5,0,0
31,50,0.68,19,30,0.5,100,0,0.5,0,0
31,60,0.79,22,30,0.5,100,0,0.5,0,0
31,70,0.97,29,30,0.5,100,0,0.5,0,0
31,80,0.89,27,30,0.5,100,0,0.5,0,0
31,90,0.71,22,30,0.5,100,0,0.5,0,0
32,0,0.5,15,30,0.5,100,0,0.5,0,0
32,10,0.44,10,30,0.5,100,0,0.5,0,0
32,20,0.33,13,30,0.5,100,0,0.5,0,0
32,30,0.19,4,30,0.5,100,0,0.5,0,0
32,40,0.15,5,30,0.5,100,0,0.5,0,0
32,50,0.15,5,30,0.5,100,0,0.5,0,0
32,60,0.14,5,30,0.5,100,0,0.5,0,0
32,70,0.2,5,30,0.5,100,0,0.5,0,0
32,80,0.29,7,30,0.5,100,0,0.5,0,0
32,90,0.44,13,30,0.5,100,0,0.5,0,0
33,0,0.5,17,30,0.5,100,0,0.5,0,0
33,10,0.33,14,30,0.5,100,0,0.5,0,0
33,20,0.43,10,30,0.5,100,0,0.5,0,0
33,30,0.17,2,30,0.5,100,0,0.5,0,0
33,40,0.41,15,30,0.5,100,0,0.5,0,0
33,50,0.29,5,30,0.5,100,0,0.5,0,0
33,60,0.41,12,30,0.5,100,0,0.5,0,0
33,70,0.32,13,30,0.5,100,0,0.5,0,0
33,80,0.38,12,30,0.5,100,0,0.5,0,0
33,90,0.3,16,30,0.5,100,0,0.5,0,0
34,0,0.5,16,30,0.5,100,0,0.5,0,0
34,10,0.38,10,30,0.5,100,0,0.5,0,0
34,20,0.18,5,30,0.5,100,0,0.5,0,0
34,30,0.25,9,30,0.5,100,0,0.5,0,0
34,40,0.4,11,30,0.5,100,0,0.5,0,0
34,50,0.61,18,30,0.5,100,0,0.5,0,0
34,60,0.79,24,30,0.5,100,0,0.5,0,0
34,70,0.64,22,30,0.5,100,0,0.5,0,0
34,80,0.8,24,30,0.5,100,0,0.5,0,0
34,90,0.91,28,30,0.5,100,0,0.5,0,0
35,0,0.5,17,30,0.5,100,0,0.5,0,0
35,10,0.64,21,30,0.5,100,0,0.5,0,0
35,20,0.85,24,30,0.5,100,0,0.5,0,0
35,30,0.88,26,30,0.5,100,0,0.5,0,0
