,ID_analyze,ID_traj,method,MLE,LMLE,L0,N,s,h,u,v,freq_ini,x0,x1,xf,y0,y1,yf,traj_freq,traj_times,traj_emis,traj_ssize
41,0,41,spikedbeta-cunif,0.15,-19.293266993567894,-21.182796346507377,100,0.0,0.5,0.0,0.0,0.5,0.5,0.45,1.0,0.4666666666666667,0.4,1.0,[0.5  0.45 0.82 0.79 0.93 0.98 1.   1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[14 12 28 22 28 29 30 30 30 30],[30 30 30 30 30 30 30 30 30 30]
42,0,42,spikedbeta-cunif,0.0,-29.0032445254514,-29.0032445254514,100,0.0,0.5,0.0,0.0,0.5,0.5,0.69,0.78,0.7333333333333333,0.6666666666666666,0.8333333333333334,[0.5  0.69 0.81 0.69 0.82 0.86 0.86 0.52 0.68 0.78],[ 0 10 20 30 40 50 60 70 80 90],[22 20 26 25 26 25 23 15 23 25],[30 30 30 30 30 30 30 30 30 30]
43,0,43,spikedbeta-cunif,0.12,-20.843965762961965,-22.446286982240498,100,0.0,0.5,0.0,0.0,0.5,0.5,0.71,1.0,0.4,0.5666666666666667,1.0,[0.5  0.71 0.66 0.78 0.75 0.96 0.93 1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[12 17 23 23 21 30 28 30 30 30],[30 30 30 30 30 30 30 30 30 30]
44,0,44,spikedbeta-cunif,-0.04999999999999993,-28.47817307289852,-28.913372418800204,100,0.0,0.5,0.0,0.0,0.5,0.5,0.44,0.01,0.3333333333333333,0.43333333333333335,0.0,[0.5  0.44 0.49 0.45 0.56 0.33 0.33 0.08 0.05 0.01],[ 0 10 20 30 40 50 60 70 80 90],[10 13 20 12 17 10 12  2  1  0],[30 30 30 30 30 30 30 30 30 30]
45,0,45,spikedbeta-cunif,0.42,-8.117269189869017,-12.180122066868826,100,0.0,0.5,0.0,0.0,0.5,0.5,0.75,1.0,0.4,0.8,1.0,[0.5  0.75 0.93 0.97 1.   1.   1.   1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[12 24 28 30 30 30 30 30 30 30],[30 30 30 30 30 30 30 30 30 30]
46,0,46,spikedbeta-cunif,0.09,-25.78203310442972,-26.77084607008958,100,0.0,0.5,0.0,0.0,0.5,0.5,0.46,0.95,0.43333333333333335,0.4,1.0,[0.5  0.46 0.52 0.74 0.79 0.64 0.69 0.82 0.83 0.95],[ 0 10 20 30 40 50 60 70 80 90],[13 12 14 23 25 24 23 27 27 30],[30 30 30 30 30 30 30 30 30 30]
47,0,47,spikedbeta-cunif,-0.10999999999999999,-15.291577477263733,-16.3951941494359,100,0.0,0.5,0.0,0.0,0.5,0.5,0.44,0.0,0.43333333333333335,0.26666666666666666,0.0,[0.5  0.44 0.25 0.12 0.07 0.   0.   0.   0.   0.  ],[ 0 10 20 30 40 50 60 70 80 90],[13  8  8  4  5  0  0  0  0  0],[30 30 30 30 30 30 30 30 30 30]
48,0,48,spikedbeta-cunif,0.0,-30.499979996185495,-30.499979996185495,100,0.0,0.5,0.0,0.0,0.5,0.5,0.26,0.61,0.5333333333333333,0.5,0.4666666666666667,[0.5  0.26 0.27 0.23 0.3  0.51 0.65 0.65 0.58 0.61],[ 0 10 20 30 40 50 60 70 80 90],[16 15 10  6  7 17 19 19 17 14],[30 30 30 30 30 30 30 30 30 30]
49,0,49,spikedbeta-cunif,0.24,-12.12704513263543,-14.658269608250887,100,0.0,0.5,0.0,0.0,0.5,0.5,0.85,1.0,0.43333333333333335,0.8333333333333334,1.0,[0.5  0.85 0.85 0.97 1.   1.   1.   1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[13 25 22 29 30 30 30 30 30 30],[30 30 30 30 30 30 30 30 30 30]
50,0,50,spikedbeta-cunif,0.06,-22.523136789581915,-23.173133113944075,100,0.0,0.5,0.0,0.0,0.5,0.5,0.53,1.0,0.6,0.6333333333333333,1.0,[0.5  0.53 0.66 0.78 0.7  0.8  0.88 0.97 1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[18 19 15 23 21 26 24 30 30 30],[30 30 30 30 30 30 30 30 30 30]
51,0,51,spikedbeta-cunif,0.0,-30.799504822139134,-30.799504822139134,100,0.0,0.5,0.0,0.0,0.5,0.5,0.35,0.47,0.5,0.4,0.43333333333333335,[0.5  0.35 0.36 0.33 0.42 0.29 0.4  0.55 0.54 0.47],[ 0 10 20 30 40 50 60 70 80 90],[15 12 11  7 15  8 12 16 20 13],[30 30 30 30 30 30 30 30 30 30]
52,0,52,spikedbeta-cunif,0.18,-11.022961748879945,-12.73002643089407,100,0.0,0.5,0.0,0.0,0.5,0.5,0.66,1.0,0.5666666666666667,0.6666666666666666,1.0,[0.5  0.66 0.83 0.98 1.   1.   1.   1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[17 20 24 29 30 30 30 30 30 30],[30 30 30 30 30 30 30 30 30 30]
53,0,53,spikedbeta-cunif,-0.16999999999999993,-16.66781239261274,-18.915095119314604,100,0.0,0.5,0.0,0.0,0.5,0.5,0.23,0.0,0.6,0.16666666666666666,0.0,[0.5  0.23 0.18 0.06 0.05 0.   0.   0.   0.   0.  ],[ 0 10 20 30 40 50 60 70 80 90],[18  5  5  1  6  0  0  0  0  0],[30 30 30 30 30 30 30 30 30 30]
54,0,54,spikedbeta-cunif,-0.09999999999999998,-16.449147145786764,-17.513301896077795,100,0.0,0.5,0.0,0.0,0.5,0.5,0.36,0.0,0.4,0.43333333333333335,0.0,[0.5  0.36 0.23 0.2  0.05 0.   0.   0.   0.   0.  ],[ 0 10 20 30 40 50 60 70 80 90],[12 13  6 11  3  0  0  0  0  0],[30 30 30 30 30 30 30 30 30 30]
55,0,55,spikedbeta-cunif,0.09,-19.329697701611703,-20.30766621475953,100,0.0,0.5,0.0,0.0,0.5,0.5,0.58,1.0,0.5,0.6666666666666666,1.0,[0.5  0.58 0.56 0.72 0.71 0.81 0.86 0.92 0.99 1.  ],[ 0 10 20 30 40 50 60 70 80 90],[15 20 21 25 23 27 28 30 30 30],[30 30 30 30 30 30 30 30 30 30]
56,0,56,spikedbeta-cunif,0.12,-17.146285500404506,-18.805784296428598,100,0.0,0.5,0.0,0.0,0.5,0.5,0.56,1.0,0.43333333333333335,0.6,1.0,[0.5  0.56 0.64 0.56 0.82 1.   1.   1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[13 18 14 17 25 30 30 30 30 30],[30 30 30 30 30 30 30 30 30 30]
57,0,57,spikedbeta-cunif,0.24,-13.325864368269482,-15.855012910190519,100,0.0,0.5,0.0,0.0,0.5,0.5,0.76,1.0,0.43333333333333335,0.8,1.0,[0.5  0.76 0.85 0.76 0.99 1.   1.   1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[13 24 28 24 30 30 30 30 30 30],[30 30 30 30 30 30 30 30 30 30]
58,0,58,spikedbeta-cunif,0.09,-20.311036170845714,-21.31888220020602,100,0.0,0.5,0.0,0.0,0.5,0.5,0.65,1.0,0.6,0.6,1.0,[0.5  0.65 0.66 0.74 0.94 0.83 1.   1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[18 18 19 20 30 25 30 30 30 30],[30 30 30 30 30 30 30 30 30 30]
59,0,59,spikedbeta-cunif,0.06,-28.728424658940103,-29.067320851814443,100,0.0,0.5,0.0,0.0,0.5,0.5,0.31,0.83,0.6,0.3333333333333333,0.8,[0.5  0.31 0.51 0.74 0.9  0.95 0.92 0.97 0.93 0.83],[ 0 10 20 30 40 50 60 70 80 90],[18 10 16 23 27 30 29 29 27 24],[30 30 30 30 30 30 30 30 30 30]
